Province No,District,Municipality,WardNo
Bagmati Province,Dhading,Shiddhaekh municipality,"1,2,3, 4,5,6,7"
Bagmati Province,Makwanpur,Indrasarowar municipality,"1,2,3, 4,5,6,7"
Bagmati Province,Makwanpur,Kailash municipality,"1,2,3, 4,5,6,7,8,9,10"
Bagmati Province,Makwanpur,Thaha municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Bagmati Province,Makwanpur,Bakaiya municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Bagmati Province,Makwanpur,Bagmati municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Bagmati Province,Makwanpur,Bhimphedi municipality,"1,2,3, 4,5,6,7,8,9"
Bagmati Province,Makwanpur,"Makwanpurgadhi
RM municipality","1,2,3, 4,5,6,7,8"
Bagmati Province,Makwanpur,Manahari municipality,"1,2,3, 4,5,6,7,8,9"
Bagmati Province,Makwanpur,Raksirang municipality,"1,2,3, 4,5,6,7,8,9"
Bagmati Province,Makwanpur,Hetauda Sub-MP municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Bagmati Province,Chitwan,"Ichchhakamana
RM municipality","1,2,3, 4,5,6,7"
Bagmati Province,Chitwan,Kalika municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Bagmati Province,Chitwan,Khairahani municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Bagmati Province,Chitwan,Bharatpur municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
Bagmati Province,Chitwan,Madi municipality,"1,2,3, 4,5,6,7,8,9"
Bagmati Province,Chitwan,Ratnanagar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16"
Bagmati Province,Chitwan,Rapti municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Gandaki Province,Gorkha,Ajirkot municipality,"1,2,3, 4,5"
Gandaki Province,Gorkha,Aarughat municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Gorkha,Gandaki municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Gorkha,Gorkha municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Gorkha,Chumnubri municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Gorkha,Dharche municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Gorkha,Palungtar municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Gorkha,Bhimsen municipality,"1,2,3, 4,5,6"
Gandaki Province,Gorkha,Shahid Lakhan municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Gorkha,Siranchowk municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Gorkha,Sulikot municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Lamjung,Kolasothar municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Lamjung,Dhudh Pokhari municipality,"1,2,3, 4,5,6"
Gandaki Province,Lamjung,Dordi municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Lamjung,Besisahar municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Lamjung,Madhya Nepal municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Lamjung,Marsyandi municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Lamjung,Rainas municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Lamjung,Sundarbazar municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Tanahu,Anbukhaireni municipality,"1,2,3, 4,5,6"
Gandaki Province,Tanahu,Rishinga municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Tanahu,Ghiring municipality,"1,2,3, 4,5"
Gandaki Province,Tanahu,Devghat municipality,"1,2,3, 4,5"
Gandaki Province,Tanahu,Bhanu municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Gandaki Province,Tanahu,Bhimad municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Tanahu,Myagde municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Tanahu,Bandipur municipality,"1,2,3, 4,5,6"
Gandaki Province,Tanahu,Byas municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Tanahu,Suklagandaki municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Gandaki Province,Syangja,Arjunchaupari municipality,"1,2,3, 4,5"
Gandaki Province,Syangja,Adhikola municipality,"1,2,3, 4,5,6"
Gandaki Province,Syangja,Kaligandaki municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Syangja,Galayang municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Syangja,Chapakot municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Syangja,Putalibazar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Syangja,Fedhikhola municipality,"1,2,3, 4,5"
Gandaki Province,Syangja,Biruwa municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Syangja,Bhirkot municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Syangja,Walling municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Syangja,Harinas municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Kaski,Annapurna municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Kaski,"Pokhara Lekhnath
MP municipality","1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33"
Gandaki Province,Kaski,"Machhapuchhre
RM municipality","1,2,3, 4,5,6,7,8,9"
Gandaki Province,Kaski,Madi municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Gandaki Province,Kaski,Rupa municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Manang,Chame municipality,"1,2,3, 4,5"
Gandaki Province,Manang,Narfu municipality,"1,2,3, 4,5"
Gandaki Province,Manang,Nashong municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Manang,Neshyang municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Mustang,Gharpojang municipality,"1,2,3, 4,5"
Gandaki Province,Mustang,Thasang municipality,"1,2,3, 4,5"
Gandaki Province,Mustang,Dalomey municipality,"1,2,3, 4,5"
Gandaki Province,Mustang,Lomanthan municipality,"1,2,3, 4,5"
Gandaki Province,Mustang,Baragaun Muktichhetra municipality,"1,2,3, 4,5"
Gandaki Province,Myagdi,Annapurna municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Myagdi,Dhaulagiri municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Myagdi,Beni municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Myagdi,Mangal municipality,"1,2,3, 4,5"
Gandaki Province,Myagdi,Malika municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Myagdi,Raghuganga municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Parbat,Kushma municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Parbat,Jaljala municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Parbat,Painyu municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Parbat,Phalewas municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Parbat,Mahashila municipality,"1,2,3, 4,5,6"
Gandaki Province,Parbat,Modi municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Parbat,Bihadi municipality,"1,2,3, 4,5,6"
Gandaki Province,Baglung,Kathekhola municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Baglung,Galkot municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Gandaki Province,Baglung,Jaimini municipality,"1,2,3, 4,5,6,7,8,9,10"
Gandaki Province,Baglung,Dhorpatan municipality,"1,2,3, 4,5,6,7,8,9"
Gandaki Province,Baglung,Taman Khola municipality,"1,2,3, 4,5,6"
Gandaki Province,Baglung,Tarakhola Rular municipality,"1,2,3, 4,5"
Gandaki Province,Baglung,Nisikhola municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Baglung,Baglung municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Gandaki Province,Baglung,Badigad municipality,"1,2,3, 4,5,6,7,8"
Gandaki Province,Baglung,Barang municipality,"1,2,3, 4,5"
Gandaki Province,Nawalparasi_ East,Kawasoti municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Gandaki Province,Nawalparasi_ East,Gaidakot municipality,"1,2,3, 4,5,6,7,8,9,10,11.12.13.14.15.16.17.18"
Gandaki Province,Nawalparasi_ East,Devchuli municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Gandaki Province,Nawalparasi_ East,Bungdikali municipality,"1,2,3, 4,5,6"
Gandaki Province,Nawalparasi_ East,Bulingtar municipality,"1,2,3, 4,5,6"
Gandaki Province,Nawalparasi_ East,Madhyabindu municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15"
Gandaki Province,Nawalparasi_ East,Binayatriveni municipality,"1,2,3, 4,5,6,7"
Gandaki Province,Nawalparasi_ East,Hupsekot municipality,"1,2,3, 4,5,6"
Lumbini Province,Gulmi,Isma municipality,"1,2,3, 4,5,6"
Lumbini Province,Gulmi,Kaligandaki municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Gulmi,Darbar municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Gulmi,Chandrakot municipality,"1,2,3, 4,5,6"
Lumbini Province,Gulmi,Chhatrakot municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Gulmi,Dhurkot municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Gulmi,Madane municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Gulmi,Malika municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Gulmi,Musikot municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Lumbini Province,Gulmi,Ruru municipality,"1,2,3, 4,5,6"
Lumbini Province,Gulmi,Resunga municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Lumbini Province,Gulmi,Satyabati municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Palpa,Tansen municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Lumbini Province,Palpa,Tinahu municipality,"1,2,3, 4,5,6"
Lumbini Province,Palpa,Nisdi municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Palpa,Purvakhola municipality,"1,2,3, 4,5,6"
Lumbini Province,Palpa,Bagnaskali municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Palpa,Mathagadi municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Palpa,Ramva municipality,"1,2,3, 4,5"
Lumbini Province,Palpa,Rampur municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Palpa,Ribdikot municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Palpa,Rainadevi Chhahara municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Nawalparasi_ West,Palinandan municipality,"1,2,3, 4,5,6"
Lumbini Province,Nawalparasi_ West,Pratappur municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Nawalparasi_ West,Bardaghat municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16"
Lumbini Province,Nawalparasi_ West,Ramgram municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Lumbini Province,Nawalparasi_ West,Sarawal municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Nawalparasi_ West,Sunwal municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Lumbini Province,Nawalparasi_ West,Susta municipality,"1,2,3, 4,5"
Lumbini Province,Rupandehi,Om Satiya municipality,"1,2,3, 4,5,6"
Lumbini Province,Rupandehi,Kanchan municipality,"1,2,3, 4,5"
Lumbini Province,Rupandehi,Kotaimai municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Gaidahawa municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Rupandehi,Tilottama municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Lumbini Province,Rupandehi,Devdaha municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Lumbini Province,Rupandehi,Butawal Sub-MP municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Lumbini Province,Rupandehi,Marchawari municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Mayadevi municipality,"1,2,3, 4,5,6"
Lumbini Province,Rupandehi,Rohini municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Lumbini municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Lumbini Province,Rupandehi,Suddhodhan municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Sammarimai municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Siddarthanagar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Lumbini Province,Rupandehi,Siyari municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rupandehi,Sainamaina municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Kapilbastu,Kapilvastu municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Lumbini Province,Kapilbastu,Krishnanagar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Lumbini Province,Kapilbastu,Banaganga municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Kapilbastu,Buddhabhumi municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Kapilbastu,Maharjganj municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Kapilbastu,Mayadevi municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Kapilbastu,Yashodhara municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Kapilbastu,Vijayanagar municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Kapilbastu,Shivaraj municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Kapilbastu,Shuddhodhan municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Arghakhanchi,Chhatradev municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Arghakhanchi,Panini municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Arghakhanchi,Bhumekasthan municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Arghakhanchi,Malarani municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Arghakhanchi,Sitganga municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Lumbini Province,Arghakhanchi,Sandhikharka municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Lumbini Province,Pyuthan,Airawoti municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Pyuthan,Gaumukhi municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Pyuthan,Jhimruk municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Pyuthan,Naubahini municipality,"1,2,3, 4,5,6"
Lumbini Province,Pyuthan,Pyuthan municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Pyuthan,Mallarani municipality,"1,2,3, 4,5"
Lumbini Province,Pyuthan,Mandavi municipality,"1,2,3, 4,5"
Lumbini Province,Pyuthan,Sarumarani municipality,"1,2,3, 4,5,6"
Lumbini Province,Pyuthan,Swargadwari municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Rolpa,Tirbeni municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rolpa,Thawang municipality,"1,2,3, 4,5"
Lumbini Province,Rolpa,Duikholi municipality,"1,2,3, 4,5,6"
Lumbini Province,Rolpa,Madi municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rolpa,Runtigadhi municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Rolpa,Rolpa municipality,"1,2,3, 4,5,6,7,8,9,10"
Lumbini Province,Rolpa,Lungri municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rolpa,Sukidaha municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rolpa,Sunchhahari municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Rolpa,Subarnawati municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Rukum_East,"Putha Uttarganga
RM municipality","1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Lumbini Province,Rukum_East,Bhume municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Rukum_East,Sisne municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Dang,Gadhawa municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Lumbini Province,Dang,Ghorahi Sub-MP municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Lumbini Province,Dang,Tulsipur Sub-MP municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Lumbini Province,Dang,Dangisaran municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Dang,Bangalachuli municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Dang,Babai municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Dang,Rajpur municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Dang,Rapti municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Dang,Lamahi municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Dang,Shantinagar municipality,"1,2,3, 4,5,6,7"
Lumbini Province,Banke,Kohalpur municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15"
Lumbini Province,Banke,Khajura municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Banke,Janaki municipality,"1,2,3, 4,5,6"
Lumbini Province,Banke,Duduwa municipality,"1,2,3, 4,5,6"
Lumbini Province,Banke,Narainapur municipality,"1,2,3, 4,5,6"
Lumbini Province,Banke,Nepalgunj Sub-MP municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
Lumbini Province,Banke,Baijnath municipality,"1,2,3, 4,5,6,7,8"
Lumbini Province,Banke,Raptisonari municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Bardiya,Gulariya municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Lumbini Province,Bardiya,Geruwa municipality,"1,2,3, 4,5,6"
Lumbini Province,Bardiya,Thakurbaba municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Bardiya,Badhaiya Tal municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Bardiya,Bansgadhi municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Bardiya,Barbardiya municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Lumbini Province,Bardiya,Madhuvan municipality,"1,2,3, 4,5,6,7,8,9"
Lumbini Province,Bardiya,Rajapur municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Rukum_West,Aathabiskot municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Karnali Province,Rukum_West,Chaurjhari municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Karnali Province,Rukum_West,Triveni municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Rukum_West,Baphikot municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Rukum_West,Musikot municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Karnali Province,Rukum_West,Sanibheri municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Salyan,Kapurkot municipality,"1,2,3, 4,5,6"
Karnali Province,Salyan,Kalimati municipality,"1,2,3, 4,5,6,7"
Karnali Province,Salyan,"Kumankh Malika
RM municipality","1,2,3, 4,5,6,7"
Karnali Province,Salyan,Chhatreshwari municipality,"1,2,3, 4,5,6,7"
Karnali Province,Salyan,Dhorchaur municipality,"1,2,3, 4,5,6,7"
Karnali Province,Salyan,Tribeni municipality,"1,2,3, 4,5,6,7"
Karnali Province,Salyan,Darma municipality,"1,2,3, 4,5,6"
Karnali Province,Salyan,Bangadkupinde municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Salyan,Bagchaur municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Karnali Province,Salyan,Sharada municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15"
Karnali Province,Surkhet,Gurvakot municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Karnali Province,Surkhet,Chingad municipality,"1,2,3, 4,5,6"
Karnali Province,Surkhet,Chaukune municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Surkhet,Panchapuri municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Surkhet,Baraha Taal municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Surkhet,Birendranagar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16"
Karnali Province,Surkhet,Bheri Ganga municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Karnali Province,Surkhet,Lekbeshi municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Surkhet,Simta municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Dailekh,Aathbis municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Dailekh,Gurans municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Dailekh,Chamunda Bindrasaini municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Dailekh,Thatikadh municipality,"1,2,3, 4,5,6"
Karnali Province,Dailekh,Dungeswor municipality,"1,2,3, 4,5,6"
Karnali Province,Dailekh,Dullu municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Karnali Province,Dailekh,Narayan municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Dailekh,Naumule municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Dailekh,Bhagwatimai municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Dailekh,Bhairabi municipality,"1,2,3, 4,5,6,7"
Karnali Province,Dailekh,Mahabu municipality,"1,2,3, 4,5,6"
Karnali Province,Jajarkot,Kuse municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Jajarkot,Chhedagad municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Karnali Province,Jajarkot,Junichande municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Jajarkot,Tribeni Nalgad municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Karnali Province,Jajarkot,Barekot municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Jajarkot,Bheri municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13"
Karnali Province,Jajarkot,Shibalaya municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Dolpa,Kaike municipality,"1,2,3, 4,5,6"
Karnali Province,Dolpa,"Chharka Tangsong
RM municipality","1,2,3, 4,5"
Karnali Province,Dolpa,Jagadulla municipality,"1,2,3, 4,5,6"
Karnali Province,Dolpa,Thulibheri municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Dolpa,Dolpobuddha municipality,"1,2,3, 4,5"
Karnali Province,Dolpa,Tripurasundari municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Dolpa,Mudkechula municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Dolpa,Shey Phoksundo municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Jumla,Kankasundari municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Jumla,Guthichaur municipality,"1,2,3, 4,5"
Karnali Province,Jumla,Chandannath municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Jumla,Tatopani municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Jumla,Tila municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Jumla,Patarasi municipality,"1,2,3, 4,5,6,7"
Karnali Province,Jumla,Sinja municipality,"1,2,3, 4,5,6"
Karnali Province,Jumla,Hima municipality,"1,2,3, 4,5,6,7"
Karnali Province,Kalikot,Kalika municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Kalikot,Khadachakra municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Kalikot,Tilagufa municipality,"1,2,3, 4,5,6,7,8,9,10"
Karnali Province,Kalikot,Naraharinath municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Kalikot,Pachaljharna municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Kalikot,Palata municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Kalikot,Mahawai municipality,"1,2,3, 4,5,6,7"
Karnali Province,Kalikot,Raskot municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Kalikot,Satri Tribeni municipality,"1,2,3, 4,5,6,7,8,89"
Karnali Province,Mugu,Khatyad municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Karnali Province,Mugu,Rara Chhayanath municipality,"1,2,3, 4,5,6,7,8,9"
Karnali Province,Mugu,"Mugum
Karmarong municipality","1,2,3, 4,5,6"
Karnali Province,Mugu,Soru municipality,"1,2,3, 4,5,6"
Karnali Province,Humla,Adanchuli municipality,"1,2,3, 4,5,6"
Karnali Province,Humla,Kharpunath municipality,"1,2,3, 4,5,6"
Karnali Province,Humla,Chankheli municipality,"1,2,3, 4,5,6,7"
Karnali Province,Humla,Tanjakot municipality,"1,2,3, 4,5,6"
Karnali Province,Humla,Namkha municipality,"1,2,3, 4,5,6"
Karnali Province,Humla,Sarkegad municipality,"1,2,3, 4,5,6,7,8"
Karnali Province,Humla,Simkot municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Bajura,Gaumul municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Bajura,Chhededhaha municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajura,Triveni municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Bajura,Pandavgupha municipality,"1,2,3, 4,5"
Sudurpashchim Province,Bajura,Badimalika municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Bajura,Budhiganga municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Bajura,Budhinanda municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Bajura,Swamikartik municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajura,Himali municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Kanda municipality,"1,2,3, 4,5"
Sudurpashchim Province,Bajhang,Kedarsiuy municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Bajhang,"Khaptad Chhana
RM municipality","1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Chhabispathi Bhera municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Jaya Prithvi municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Bajhang,Talkot municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Thalara municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Bajhang,Durgathali municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Bungal municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,Bajhang,Masta municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Bajhang,Bitthadchir municipality,"1,2,3, 4,5,6,7,8,9"
